Data reference syntax to experiment level,Sub-experiment ID,Ensemble member,Table ID,Variable name,Grid label,Version number on ESGF,Subpanel
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585,none,r3i1p1f2,Amon,tas,gr,v20190410,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp245,none,r4i1p1f1,SImon,siconc,gn,v20190702,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r12i1p1f1,SImon,siconc,gn,v20191018,
CMIP6.ScenarioMIP.NCAR.CESM2.ssp245,none,r3i1p1f1,SImon,siconc,gn,v20191106,
CMIP6.CMIP.E3SM-Project.E3SM-1-0.historical,none,r2i1p1f1,Amon,tas,gr,v20190729,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r17i1p1f1,Amon,tas,gn,v20200519,
CMIP6.CMIP.??.UKESM1-0-LL.historical,none,r6i1p1f3,SImon,??,??,??,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r10i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.CMIP.NCAR.CESM2.historical,none,r7i1p1f1,SImon,siareas,gn,v20190311,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp245,none,r8i1p1f2,SImon,siconc,gn,v20190510,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp585,none,r7i1p1f1,SImon,??,??,??,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r4i1p1f3,Amon,tas,gn,v20190903,
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245,none,r1i1p1f1,SImon,siareas,gn,v20190815,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r9i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126,none,r6i1p1f2,Amon,tas,gr,v20190410,
CMIP6.CMIP.CAS.FGOALS-g3.historical,none,r6i1p1f1,Amon,tas,gn,v20200411,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r9i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp245,none,r1i1p1f1,SImon,siarean,gn,v20191108,
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical,none,r3i1p1f2,Amon,tas,gr,v20190125,
CMIP6.CMIP.CAS.FGOALS-f3-L.historical,none,r3i1p1f1,SImon,siconc,gn,v20191031,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-H.historical,none,r3i1p1f1,SImon,siconc,gr,v20190403,
CMIP6.CMIP.NCAR.CESM2.historical,none,r8i1p1f1,SImon,siarean,gn,v20190311,
CMIP6.ScenarioMIP.CAS.FGOALS-f3-L.ssp245,none,r1i1p1f1,SImon,siconc,gn,v20191031,
CMIP6.CMIP.??.HadGEM3-GC31-MM.historical,none,r2i1p1f3,Amon,tas,??,??,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r25i1p1f1,SImon,siconc,gn,v20200519,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r5i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp245,none,r1i1p1f1,SImon,siareas,gn,v20181218,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r17i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r5i1p1f1,SImon,siarean,gn,v20190710,
