year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 1801 282.620 282.620 282.620 282.620 282.620 282.620 
 1802 282.790 282.790 282.790 282.790 282.790 282.790 
 1803 282.940 282.940 282.940 282.940 282.940 282.940 
 1804 283.080 283.080 283.080 283.080 283.080 283.080 
 1805 283.210 283.210 283.210 283.210 283.210 283.210 
 1806 283.330 283.330 283.330 283.330 283.330 283.330 
 1807 283.440 283.440 283.440 283.440 283.440 283.440 
 1808 283.530 283.530 283.530 283.530 283.530 283.530 
 1809 283.620 283.620 283.620 283.620 283.620 283.620 
 1810 283.680 283.680 283.680 283.680 283.680 283.680 
 1811 283.740 283.740 283.740 283.740 283.740 283.740 
 1812 283.780 283.780 283.780 283.780 283.780 283.780 
 1813 283.800 283.800 283.800 283.800 283.800 283.800 
 1814 283.810 283.810 283.810 283.810 283.810 283.810 
 1815 283.810 283.810 283.810 283.810 283.810 283.810 
 1816 283.780 283.780 283.780 283.780 283.780 283.780 
 1817 283.750 283.750 283.750 283.750 283.750 283.750 
 1818 283.710 283.710 283.710 283.710 283.710 283.710 
 1819 283.670 283.670 283.670 283.670 283.670 283.670 
 1820 283.620 283.620 283.620 283.620 283.620 283.620 
 1821 283.570 283.570 283.570 283.570 283.570 283.570 
 1822 283.530 283.530 283.530 283.530 283.530 283.530 
 1823 283.500 283.500 283.500 283.500 283.500 283.500 
 1824 283.470 283.470 283.470 283.470 283.470 283.470 
 1825 283.460 283.460 283.460 283.460 283.460 283.460 
 1826 283.460 283.460 283.460 283.460 283.460 283.460 
 1827 283.480 283.480 283.480 283.480 283.480 283.480 
 1828 283.510 283.510 283.510 283.510 283.510 283.510 
 1829 283.550 283.550 283.550 283.550 283.550 283.550 
 1830 283.600 283.600 283.600 283.600 283.600 283.600 
 1831 283.660 283.660 283.660 283.660 283.660 283.660 
 1832 283.730 283.730 283.730 283.730 283.730 283.730 
 1833 283.800 283.800 283.800 283.800 283.800 283.800 
 1834 283.870 283.870 283.870 283.870 283.870 283.870 
 1835 283.960 283.960 283.960 283.960 283.960 283.960 
 1836 284.050 284.050 284.050 284.050 284.050 284.050 
 1837 284.170 284.170 284.170 284.170 284.170 284.170 
 1838 284.300 284.300 284.300 284.300 284.300 284.300 
 1839 284.440 284.440 284.440 284.440 284.440 284.440 
 1840 284.610 284.610 284.610 284.610 284.610 284.610 
 1841 284.810 284.810 284.810 284.810 284.810 284.810 
 1842 285.020 285.020 285.020 285.020 285.020 285.020 
 1843 285.250 285.250 285.250 285.250 285.250 285.250 
 1844 285.470 285.470 285.470 285.470 285.470 285.470 
 1845 285.690 285.690 285.690 285.690 285.690 285.690 
 1846 285.890 285.890 285.890 285.890 285.890 285.890 
 1847 286.070 286.070 286.070 286.070 286.070 286.070 
 1848 286.220 286.220 286.220 286.220 286.220 286.220 
 1849 286.340 286.340 286.340 286.340 286.340 286.340 
 1850 286.430 286.430 286.430 286.430 286.430 286.430 
 1851 286.490 286.490 286.490 286.490 286.490 286.490 
 1852 286.520 286.520 286.520 286.520 286.520 286.520 
 1853 286.530 286.530 286.530 286.530 286.530 286.530 
 1854 286.510 286.510 286.510 286.510 286.510 286.510 
 1855 286.480 286.480 286.480 286.480 286.480 286.480 
 1856 286.450 286.450 286.450 286.450 286.450 286.450 
 1857 286.420 286.420 286.420 286.420 286.420 286.420 
 1858 286.410 286.410 286.410 286.410 286.410 286.410 
 1859 286.400 286.400 286.400 286.400 286.400 286.400 
 1860 286.400 286.400 286.400 286.400 286.400 286.400 
 1861 286.600 286.600 286.600 286.600 286.600 286.600 
 1862 286.700 286.700 286.700 286.700 286.700 286.700 
 1863 286.800 286.800 286.800 286.800 286.800 286.800 
 1864 286.900 286.900 286.900 286.900 286.900 286.900 
 1865 287.000 287.000 287.000 287.000 287.000 287.000 
 1866 287.100 287.100 287.100 287.100 287.100 287.100 
 1867 287.200 287.200 287.200 287.200 287.200 287.200 
 1868 287.400 287.400 287.400 287.400 287.400 287.400 
 1869 287.500 287.500 287.500 287.500 287.500 287.500 
 1870 287.700 287.700 287.700 287.700 287.700 287.700 
 1871 287.900 287.900 287.900 287.900 287.900 287.900 
 1872 288.000 288.000 288.000 288.000 288.000 288.000 
 1873 288.200 288.200 288.200 288.200 288.200 288.200 
 1874 288.400 288.400 288.400 288.400 288.400 288.400 
 1875 288.600 288.600 288.600 288.600 288.600 288.600 
 1876 288.700 288.700 288.700 288.700 288.700 288.700 
 1877 288.900 288.900 288.900 288.900 288.900 288.900 
 1878 289.500 289.500 289.500 289.500 289.500 289.500 
 1879 290.100 290.100 290.100 290.100 290.100 290.100 
 1880 290.800 290.800 290.800 290.800 290.800 290.800 
 1881 291.400 291.400 291.400 291.400 291.400 291.400 
 1882 292.000 292.000 292.000 292.000 292.000 292.000 
 1883 292.500 292.500 292.500 292.500 292.500 292.500 
 1884 292.900 292.900 292.900 292.900 292.900 292.900 
 1885 293.300 293.300 293.300 293.300 293.300 293.300 
 1886 293.800 293.800 293.800 293.800 293.800 293.800 
