year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 2338 0.126 0.139 0.149 0.165 0.169 0.169 
 2339 0.126 0.139 0.149 0.165 0.170 0.170 
 2340 0.126 0.140 0.150 0.165 0.170 0.170 
 2341 0.127 0.140 0.150 0.166 0.170 0.170 
 2342 0.127 0.140 0.150 0.166 0.170 0.170 
 2343 0.127 0.140 0.151 0.166 0.171 0.171 
 2344 0.127 0.141 0.151 0.167 0.171 0.171 
 2345 0.127 0.141 0.151 0.167 0.171 0.171 
 2346 0.128 0.141 0.151 0.167 0.172 0.172 
 2347 0.128 0.141 0.152 0.167 0.172 0.172 
 2348 0.128 0.142 0.152 0.168 0.172 0.172 
 2349 0.128 0.142 0.152 0.168 0.172 0.172 
 2350 0.129 0.142 0.152 0.168 0.173 0.173 
 2351 0.129 0.142 0.153 0.168 0.173 0.173 
 2352 0.129 0.142 0.153 0.169 0.173 0.173 
 2353 0.129 0.143 0.153 0.169 0.174 0.173 
 2354 0.130 0.143 0.153 0.169 0.174 0.174 
 2355 0.130 0.143 0.154 0.170 0.174 0.174 
 2356 0.130 0.144 0.154 0.170 0.174 0.174 
 2357 0.130 0.144 0.154 0.170 0.175 0.175 
 2358 0.131 0.144 0.155 0.170 0.175 0.175 
 2359 0.131 0.144 0.155 0.171 0.175 0.175 
 2360 0.131 0.145 0.155 0.171 0.175 0.175 
 2361 0.131 0.145 0.155 0.171 0.176 0.176 
 2362 0.131 0.145 0.156 0.171 0.176 0.176 
 2363 0.132 0.145 0.156 0.172 0.176 0.176 
 2364 0.132 0.146 0.156 0.172 0.176 0.176 
 2365 0.132 0.146 0.156 0.172 0.177 0.177 
 2366 0.132 0.146 0.157 0.172 0.177 0.177 
 2367 0.133 0.146 0.157 0.173 0.177 0.177 
 2368 0.133 0.146 0.157 0.173 0.177 0.177 
 2369 0.133 0.147 0.157 0.173 0.178 0.178 
 2370 0.133 0.147 0.158 0.173 0.178 0.178 
 2371 0.133 0.147 0.158 0.174 0.178 0.178 
 2372 0.134 0.147 0.158 0.174 0.178 0.178 
 2373 0.134 0.148 0.158 0.174 0.179 0.179 
 2374 0.134 0.148 0.159 0.174 0.179 0.179 
 2375 0.134 0.148 0.159 0.175 0.179 0.179 
 2376 0.134 0.148 0.159 0.175 0.179 0.179 
 2377 0.135 0.148 0.159 0.175 0.179 0.180 
 2378 0.135 0.149 0.160 0.175 0.180 0.180 
 2379 0.135 0.149 0.160 0.176 0.180 0.180 
 2380 0.135 0.149 0.160 0.176 0.180 0.180 
 2381 0.135 0.149 0.160 0.176 0.180 0.181 
 2382 0.136 0.150 0.161 0.176 0.181 0.181 
