station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Kinlochbervie                      	-5.050360	58.456610	0.434000	        0.140000	        0.240000	        0.430000	        0.700000	        0.910000	        2.327026	        4.158748	       16.488880	      111.046231	      385.597264
Klagshamn                          	12.893600	55.522200	0.517000	        0.250000	        0.350000	        0.520000	        0.760000	        0.960000	       17.691810	       36.975022	      127.885033	      528.314391	     2259.080766
Knysna                             	23.033300	-34.050000	0.642000	        0.410000	        0.490000	        0.640000	        0.860000	        1.060000	       44.267246	      117.443697	      562.469147	     3870.628596	    14811.986138
Ko Lak                             	99.816700	11.795000	0.509000	        0.290000	        0.360000	        0.510000	        0.730000	        0.950000	      121.605882	      266.799879	      861.850158	     4367.393885	    15061.218801
Ko Taphao Noi                      	98.425000	7.831700	0.596000	        0.370000	        0.450000	        0.600000	        0.830000	        1.050000	     1198.510957	     2063.706257	     6171.002921	    18262.500000	    18262.500000
KOBE                               	135.183300	34.683300	0.877000	        0.600000	        0.700000	        0.880000	        1.130000	        1.350000	        9.074397	       25.117827	      239.155670	     6483.260834	    18262.500000
KOCHI                              	133.566700	33.500000	0.493000	        0.210000	        0.310000	        0.490000	        0.750000	        0.970000	        1.887051	        2.687207	        6.866720	       43.816688	      275.540329
Kodiak Isl.,Alaska                 	-152.511700	57.731700	-0.454000	       -0.750000	       -0.650000	       -0.450000	       -0.190000	        0.040000	        0.000204	        0.000907	        0.019803	        0.722148	        1.961480
Kodiak Island, USA                 	-152.511700	57.731700	-0.454000	       -0.750000	       -0.650000	       -0.450000	       -0.190000	        0.040000	        0.000236	        0.001455	        0.058925	        2.051788	        3.064737
KOMATSUSHIMA                       	134.583300	34.016700	0.627000	        0.350000	        0.440000	        0.630000	        0.890000	        1.110000	       14.515478	       39.824868	      285.516152	     4813.151147	    18262.500000
Kota Kinabalu                      	116.066700	5.983300	0.563000	        0.330000	        0.410000	        0.560000	        0.800000	        1.020000	       87.510604	      297.212287	     1847.999218	    18262.500000	    18262.500000
Kuantan                            	103.430000	3.975000	0.533000	        0.250000	        0.350000	        0.530000	        0.790000	        1.020000	       65.306612	      151.544827	      573.922997	     3594.415073	    13770.039602
